Firma;Website;Gesamtbewertung;Punkte;Einstufung;Ausschlussgrund;Kurzbegründung;Datenqualität;Ort;Land;Produktkategorien;Mitarbeiter;Umsatz (Mio. EUR);Konzernmutter;Quelle;Beleg;LinkedIn Firmenprofil URL;F1 Branche;F1 Begründung;F2 Region;F2 Begründung;F3 Mitarbeiterzahl;F3 Begründung;F4 Jahresumsatz;F4 Begründung;B1 Präzisionsanspruch in Druckwerk und Bogenführung;B1 Begründung;B2 Druckwerke, Bogeneinzug und Bahnführung als Kernbaugruppen;B2 Begründung;B3 Einsatz von Linear- und Antriebstechnik;B3 Begründung;B4 Ersatzteil- und Servicegeschäft;B4 Begründung;B5 Hohe Taktzahlen und Serienmaschinenbau;B5 Begründung;B6 Eigene Entwicklung und Konstruktion von Neumaschinen;B6 Begründung;B7 Strukturierter Einkauf und Lieferantenmanagement;B7 Begründung;B8 Qualitätssicherung und dokumentierte Prüfung;B8 Begründung
Technigraf GmbH;https://technigraf.de/;D;42;Schlechter Fit;kein Ausschlusskriterium;0 von 12 Kriterien mit A, 3 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: UV-Haertungsanlagen und Belichtungsgeraete fuer Sieb- und Druckindustrie. Auf der Website 1 Fundstellen zu Kernbegriffen: Inkjet (1).;Mittel, nur Website, 73 Prozent der Kriterien belegt;61279 Grävenwiesbach;Deutschland;UV-Haertungsanlagen und Belichtungsgeraete fuer Sieb- und Druckindustrie;k. A.;k. A.;;Websuche Druckmaschinenhersteller Deutschland (induux);"Website: Belichtungsgeraete, Siebtrockenschraenke, konventionelle UV-Haertungsanlagen und UV-Messgeraete; Sitz Auf der Struth 4, Graevenwiesbach.";https://www.linkedin.com/company/technigraf-gmbh;B;Randbereich der Zielbranche laut Recherche: UV-Haertungsanlagen und Belichtungsgeraete fuer Sieb- und Druckindustrie. Auf der Website 1 Fundstellen zu Kernbegriffen: Inkjet (1).;B;Sitz 61279 Grävenwiesbach, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur Register (2) auf 6 Seiten.;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;C;Schwacher Beleg, nur Wartung (1) auf 6 Seiten.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;B;2 Begriffe mit 3 Fundstellen: Entwicklung (2), Konstruktion (1).;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;B;1 Begriffe mit 1 Fundstellen: Messtechnik (1).
KAMA GmbH;https://www.kama.info/de/;D;41;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 5 mit D. Randbereich der Zielbranche laut Recherche: Stanz- und Praegemaschinen, Veredelungssysteme, Falt-/Klebemaschinen. Auf der Website 5 Fundstellen zu Kernbegriffen: Digitaldruck (2), Verpackungsdruck (2), Druckmaschine (1).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;01237 Dresden;Deutschland;Stanz- und Praegemaschinen, Veredelungssysteme, Falt-/Klebemaschinen;110 (Recherche);22 (abgeleitet);;Startliste;Website: Seit ueber 130 Jahren entwickeln Ingenieure bei KAMA hochwertige Stanz-/Praegemaschinen, Veredelungssysteme sowie Falt-/Klebemaschinen fuer den weltweiten Markt.;https://www.linkedin.com/company/kama-gmbh;B;Randbereich der Zielbranche laut Recherche: Stanz- und Praegemaschinen, Veredelungssysteme, Falt-/Klebemaschinen. Auf der Website 5 Fundstellen zu Kernbegriffen: Digitaldruck (2), Verpackungsdruck (2), Druckmaschine (1).;B;Sitz 01237 Dresden, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;D;110 Mitarbeiter (Recherche, Gesellschaft: https://www.kama.info/de/unternehmen/about/ (2026: heute 110 Beschaeftigte)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;22 Mio. EUR (aus 110 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;B;2 Begriffe mit 2 Fundstellen: Präzision (1), präzise (1).;B;2 Begriffe mit 2 Fundstellen: Register (1), Bogen (1).;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;2 Begriffe mit 60 Fundstellen auf 8 Seiten: Wartung (46), Ersatzteil (14).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;A;3 Begriffe mit 4 Fundstellen auf 8 Seiten: Innovation (2), Entwicklung (1), engineering (1).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.
J. Zimmer Maschinenbau GmbH;https://www.zimmer-austria.com/;D;40;Schlechter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 5 mit D. Kernprodukt laut Recherche: Rotations- und Flachsiebdruck- sowie Beschichtungsanlagen fuer Textilien. Auf der Website 10 Fundstellen zu Kernbegriffen: printing system (7), printing machine (2), Inkjet (1).;Mittel, nur Website, 100 Prozent der Kriterien belegt;9020 Klagenfurt;Österreich;Rotations- und Flachsiebdruck- sowie Beschichtungsanlagen fuer Textilien;140 (Website);28 (abgeleitet);;industrystock Textildruckmaschinen;"Website zimmer-austria.com: Standort Klagenfurt, Ebentalerstrasse 133; Screen printing und Coating Equipment; ueber 150 Jahre im Geschaeft.";https://www.linkedin.com/company/zimmer-austria;A;Kernprodukt laut Recherche: Rotations- und Flachsiebdruck- sowie Beschichtungsanlagen fuer Textilien. Auf der Website 10 Fundstellen zu Kernbegriffen: printing system (7), printing machine (2), Inkjet (1).;C;Sitz 9020 Klagenfurt, Österreich, im deutschsprachigen Raum, Zielregion ist Heidelberg.;D;140 Mitarbeiter (Eigendarstellung auf der Website), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;28 Mio. EUR (aus 140 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;A;2 Begriffe mit 11 Fundstellen auf 9 Seiten: precision (9), accuracy (2).;C;Schwacher Beleg, nur Register (3) auf 9 Seiten.;C;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;B;2 Begriffe mit 7 Fundstellen: maintenance (4), spare part (3).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;A;4 Begriffe mit 23 Fundstellen auf 9 Seiten: Innovation (12), engineering (9), Patent (1), research and development (1).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.
Jagenberg Converting Solutions GmbH;https://www.jagenberg-converting.com/;D;40;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 3 mit D. Randbereich der Zielbranche laut Recherche: Beschichtungs-, Kaschier- und Converting-Anlagen fuer Bahnmaterialien. Auf der Website 1 Fundstellen zu Kernbegriffen: printing system (1).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;22763 Hamburg;Deutschland;Beschichtungs-, Kaschier- und Converting-Anlagen fuer Bahnmaterialien;100 (Recherche);20 (abgeleitet);Jagenberg AG;"VDMA Mitgliederverzeichnis; induux Herstellerliste";"Website: Jagenberg Converting Solutions GmbH offers turnkey solutions from a single source (Beschichtungs- und Converting-Anlagen); Impressum Friesenweg 32a, 22763 Hamburg.";https://www.linkedin.com/company/jagenberg-converting-solutions;B;Randbereich der Zielbranche laut Recherche: Beschichtungs-, Kaschier- und Converting-Anlagen fuer Bahnmaterialien. Auf der Website 1 Fundstellen zu Kernbegriffen: printing system (1).;B;Sitz 22763 Hamburg, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;D;100 Mitarbeiter (Recherche, Gesellschaft: https://www.jagenberg-converting.com/company/about-us/ (2026: more than 100 employees from Jagenberg Group companies)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;20 Mio. EUR (aus 100 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;C;Schwacher Beleg, nur precision (1) auf 7 Seiten.;C;Schwacher Beleg, nur Register (2) auf 7 Seiten.;C;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;C;Schwacher Beleg, nur Retrofit (3) auf 7 Seiten.;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;A;3 Begriffe mit 7 Fundstellen auf 7 Seiten: Innovation (4), engineering (2), R&D (1).;A;3 Begriffe mit 30 Fundstellen auf 7 Seiten: Purchasing (15), Code of Conduct (14), Supplier (1).;B;1 Begriffe mit 1 Fundstellen: quality assurance (1).
Zimmer Maschinenbau GmbH (ZIMMER AUSTRIA Digital Printing Systems);https://www.zimmer-austria.com/;D;40;Schlechter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 5 mit D. Kernprodukt laut Recherche: Digitale Textildruckanlagen und Beschichtungssysteme. Auf der Website 10 Fundstellen zu Kernbegriffen: printing system (7), printing machine (2), Inkjet (1).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;6330 Kufstein;Österreich;Digitale Textildruckanlagen und Beschichtungssysteme;140 (Recherche);28 (abgeleitet);;Startliste (Zimmer Austria);"Website zimmer-austria.com: Standort Kufstein, Eibergstrasse 2-8; advanced digital printing solutions fuer Teppiche, Heimtextilien, Bekleidung, technische Textilien.";https://www.linkedin.com/company/zimmer-austria;A;Kernprodukt laut Recherche: Digitale Textildruckanlagen und Beschichtungssysteme. Auf der Website 10 Fundstellen zu Kernbegriffen: printing system (7), printing machine (2), Inkjet (1).;C;Sitz 6330 Kufstein, Österreich, im deutschsprachigen Raum, Zielregion ist Heidelberg.;D;140 Mitarbeiter (Recherche, Standort: https://www.zimmer-austria.com/company/career/ (2026: Kufstein is home to around 140 employees)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;28 Mio. EUR (aus 140 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;A;2 Begriffe mit 11 Fundstellen auf 9 Seiten: precision (9), accuracy (2).;C;Schwacher Beleg, nur Register (3) auf 9 Seiten.;C;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;B;2 Begriffe mit 7 Fundstellen: maintenance (4), spare part (3).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;A;4 Begriffe mit 23 Fundstellen auf 9 Seiten: Innovation (12), engineering (9), Patent (1), research and development (1).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.
Heiber + Schröder Maschinenbau GmbH;https://heiber-schroeder.com/de/;D;39;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 4 mit D. Randbereich der Zielbranche laut Recherche: Fenstereinklebe- und Trayaufrichtemaschinen fuer Verpackungen.;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;Erkrath;Deutschland;Fenstereinklebe- und Trayaufrichtemaschinen fuer Verpackungen;80 (Recherche);16 (abgeleitet);;Startliste;"Website: 70 Mitarbeiter beleben den Hauptsitz in Erkrath; H+S stellt jaehrlich ca. 100 Maschinen fuer die Verpackungsindustrie her (Fenstereinklebe- und Trayaufrichtemaschinen).";nicht auf der Website verlinkt;B;Randbereich der Zielbranche laut Recherche: Fenstereinklebe- und Trayaufrichtemaschinen fuer Verpackungen.;B;Sitz Erkrath, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;D;80 Mitarbeiter (Recherche, Gesellschaft: https://heiber-schroeder.com/karriere (2026: Das Team der Heiber + Schroeder Maschinenbau GmbH umfasst ca. 80 Mitarbeiter an 2 Standorten)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;16 Mio. EUR (aus 80 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur Register (1) auf 8 Seiten.;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;4 Begriffe mit 14 Fundstellen auf 8 Seiten: Ersatzteil (10), Wartung (2), Instandhaltung (1), Lebensdauer (1).;C;Schwacher Beleg, nur Hochleistung (1) auf 8 Seiten.;A;4 Begriffe mit 17 Fundstellen auf 8 Seiten: Entwicklung (9), Konstruktion (5), Innovation (2), Konstrukteur (1).;B;1 Begriffe mit 1 Fundstellen: Verhaltenskodex (1).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.
Chr. Renz GmbH;https://www.renz-germany.de/;D;38;Schlechter Fit;kein Ausschlusskriterium;1 von 12 Kriterien mit A, 4 mit D. Randbereich der Zielbranche laut Recherche: Draht- und Spiralbindemaschinen, Stanzmaschinen. Hinweis: Nach Insolvenz Uebernahme durch die schwedische Plockmatic Group (Website-Meldung);Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;73540 Heubach;Deutschland;Draht- und Spiralbindemaschinen, Stanzmaschinen;120 (Recherche);24 (abgeleitet);Plockmatic Group (Schweden);Websuche Druckweiterverarbeitung Hersteller;Website: durch die Uebernahme der Chr. Renz GmbH durch die schwedische Plockmatic Group konnte eine tragfaehige Loesung gefunden werden.;https://linkedin.com/company/renz-germany;B;Randbereich der Zielbranche laut Recherche: Draht- und Spiralbindemaschinen, Stanzmaschinen.;B;Sitz 73540 Heubach, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;D;120 Mitarbeiter (Recherche, Gruppe: https://www.renz-germany.de/ueber-uns/ (2026: Die RENZ Gruppe beschaeftigt ueber 120 hochqualifizierte Mitarbeiter)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;24 Mio. EUR (aus 120 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;C;Schwacher Beleg, nur Genauigkeit (1) auf 6 Seiten.;A;2 Begriffe mit 10 Fundstellen auf 6 Seiten: printing unit (8), Register (2).;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur Hochleistung (1) auf 6 Seiten.;B;2 Begriffe mit 4 Fundstellen: Entwicklung (2), Innovation (2).;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;B;1 Begriffe mit 1 Fundstellen: Qualitätssicherung (1).
Gietz AG;https://www.gietz.ch/de/;D;38;Schlechter Fit;kein Ausschlusskriterium;1 von 12 Kriterien mit A, 4 mit D. Randbereich der Zielbranche laut Recherche: Heissfolienpraege- und Stanzmaschinen fuer Druckveredelung.;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;9200 Gossau;Schweiz;Heissfolienpraege- und Stanzmaschinen fuer Druckveredelung;70 (Recherche);14 (abgeleitet);Familienbesitz;Websuche Druckmaschinenhersteller Schweiz;"Website gietz.ch: Hot Foil Stamping und Tray Forming Machines; Flaggschiff-Maschinen fuer Bogen-Heissfolienpraegung.";https://www.linkedin.com/company/2309098;B;Randbereich der Zielbranche laut Recherche: Heissfolienpraege- und Stanzmaschinen fuer Druckveredelung.;C;Sitz 9200 Gossau, Schweiz, im deutschsprachigen Raum, Zielregion ist Heidelberg.;D;70 Mitarbeiter (Recherche, Gesellschaft: https://www.gietz.ch/en/about-us.html (2026: Our team consists of over 70 employees)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;14 Mio. EUR (aus 70 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;B;2 Begriffe mit 5 Fundstellen: Präzision (4), Genauigkeit (1).;B;2 Begriffe mit 9 Fundstellen: Bogen (7), Register (2).;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;4 Begriffe mit 5 Fundstellen auf 8 Seiten: Originalteil (2), Ersatzteil (1), Wartung (1), Retrofit (1).;B;1 Begriffe mit 8 Fundstellen: Hochleistung (8).;C;Schwacher Beleg, nur Innovation (2) auf 8 Seiten.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.
Hymmen GmbH Maschinen- und Anlagenbau;https://www.hymmen.com/de/;D;38;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 5 mit D. Kernprodukt laut Recherche: Industrielle Digitaldruckanlagen und Lackieranlagen fuer Oberflaechen. Auf der Website 25 Fundstellen zu Kernbegriffen: Digitaldruck (25).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;33613 Bielefeld;Deutschland;Industrielle Digitaldruckanlagen und Lackieranlagen fuer Oberflaechen;230 (Recherche);46 (abgeleitet);Familienbesitz;industrystock Druckmaschinen;Website: Technologien fuer exzellente Oberflaechen, u. a. industrielle Digitaldruck- und Beschichtungstechnologie fuer Moebel-, Fussboden- und Laminatindustrie.;https://de.linkedin.com/company/hymmen;A;Kernprodukt laut Recherche: Industrielle Digitaldruckanlagen und Lackieranlagen fuer Oberflaechen. Auf der Website 25 Fundstellen zu Kernbegriffen: Digitaldruck (25).;B;Sitz 33613 Bielefeld, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;D;230 Mitarbeiter (Recherche, Gesellschaft: https://www.hymmen.com/de/karriere/ (2026: Etwa 230 Mitarbeiter sind heute fuer Hymmen taetig)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;46 Mio. EUR (aus 230 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;B;2 Begriffe mit 6 Fundstellen: präzise (5), Präzision (1).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;6 Begriffe mit 15 Fundstellen auf 8 Seiten: Wartung (5), Retrofit (4), Ersatzteil (3), Verschleißteil (1).;C;Schwacher Beleg, nur Großserie (1) auf 8 Seiten.;C;Schwacher Beleg, nur Innovation (4) auf 8 Seiten.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.
Horizon GmbH;https://horizon.de/;D;35;Schlechter Fit;Kein Hersteller (Handel, Service oder Vertrieb): Website horizon.de: Seit dem Eintritt von Horizon in den deutschen und europaeischen Markt;Ausschluss: Kein Hersteller (Handel, Service oder Vertrieb): Website horizon.de: Seit dem Eintritt von Horizon in den deutschen und europaeischen Markt. Im Raster 1 mal A und 4 mal D.;Mittel, nur Website, 73 Prozent der Kriterien belegt;25451 Quickborn;Deutschland;Vertrieb und Service von Horizon-Druckweiterverarbeitungssystemen;k. A.;k. A.;Horizon International Inc. (Japan);"Startliste (Horizon); drupa-Aussteller (bindereport)";"Website horizon.de: Seit dem Eintritt von Horizon in den deutschen und europaeischen Markt 1982; Sammelhefter, Klebebinder, Falzmaschinen des japanischen Herstellers Horizon.";https://de.linkedin.com/company/horizon-gmbh;D;"Kein Hersteller laut Recherche: Website horizon.de: Seit dem Eintritt von Horizon in den deutschen und europaeischen Markt 1982; Sammelhefter, Klebebinder, Falzmaschinen de";B;Sitz 25451 Quickborn, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;C;Schwacher Beleg, nur präzise (3) auf 6 Seiten.;B;2 Begriffe mit 7 Fundstellen: Register (5), Bogen (2).;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;2 Begriffe mit 29 Fundstellen auf 6 Seiten: Ersatzteil (15), Wartung (14).;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;B;1 Begriffe mit 6 Fundstellen: Innovation (6).;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.
TAMPOPRINT GmbH;https://www.tampoprint.com/de-de/;D;34;Schlechter Fit;kein Ausschlusskriterium;1 von 12 Kriterien mit A, 7 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Tampondruckmaschinen, Laser- und Inkjet-Systeme. Auf der Website 158 Fundstellen zu Kernbegriffen: Tampondruck (80), Inkjet (62), Druckmaschine (16).;Mittel, nur Website, 73 Prozent der Kriterien belegt;70825 Korntal-Münchingen;Deutschland;Tampondruckmaschinen, Laser- und Inkjet-Systeme;k. A.;k. A.;;"Startliste; industrystock Tampondruck";Website tampoprint.com: Standard-Tampondruckmaschinen, Tampondruck-Automationen, Druck-Laser-Automationen, CHROMAFORCE Inkjetmaschinen.;https://www.linkedin.com/company/tampoprint-gmbh;A;Kernprodukt laut Recherche: Tampondruckmaschinen, Laser- und Inkjet-Systeme. Auf der Website 158 Fundstellen zu Kernbegriffen: Tampondruck (80), Inkjet (62), Druckmaschine (16).;B;Sitz 70825 Korntal-Münchingen, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.
POLAR-Mohr Maschinenvertriebsgesellschaft GmbH & Co. KG;https://www.polar-mohr.com/;D;30;Schlechter Fit;kein Ausschlusskriterium;"1 von 12 Kriterien mit A, 7 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Schnellschneider und Schneidsysteme fuer die Druckweiterverarbeitung. Hinweis: Insolvenz in Eigenverwaltung 2022; Technologie und Markenrechte Juli 2025, Produktion und Entwicklung bis Juli 2026 von Heidelberger Druckmaschinen uebernommen";Mittel, nur Website, 73 Prozent der Kriterien belegt;65719 Hofheim am Taunus;Deutschland;Schnellschneider und Schneidsysteme fuer die Druckweiterverarbeitung;k. A.;k. A.;Heidelberger Druckmaschinen AG;https://de.wikipedia.org/wiki/Polar_Mohr;"Wikipedia: Hersteller von Maschinen fuer die Druckweiterverarbeitung, insbesondere Schneidemaschinen; Weltmarktfuehrer im Segment.";nicht auf der Website verlinkt;B;Randbereich der Zielbranche laut Recherche: Schnellschneider und Schneidsysteme fuer die Druckweiterverarbeitung.;A;Sitz 65719 Hofheim am Taunus, Deutschland, in der Zielregion Heidelberg.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.
Lüscher Technologies AG;https://luescher.com/;D;27;Schlechter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 7 mit D. Randbereich der Zielbranche laut Recherche: Direktbelichter (CtP) fuer Sieb-, Flexo- und Offsetdruckformen. Auf der Website 66 Fundstellen zu Kernbegriffen: Siebdruck (21), Flexodruck (12), Tampondruck (12), Offsetdruck (11).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;4665 Oftringen;Schweiz;Direktbelichter (CtP) fuer Sieb-, Flexo- und Offsetdruckformen;30 (Recherche);6 (abgeleitet);;Websuche Druckvorstufe Schweiz;"Website: Maschinen MultiDX!, JetScreen!, XPose! fuer Siebdruck, Offsetdruck, Flexodruck und Sicherheitsdruck; Sitz Industriestrasse 17, 4665 Oftringen.";https://www.linkedin.com/company/luescher-technologies-ag;B;Randbereich der Zielbranche laut Recherche: Direktbelichter (CtP) fuer Sieb-, Flexo- und Offsetdruckformen. Auf der Website 66 Fundstellen zu Kernbegriffen: Siebdruck (21), Flexodruck (12), Tampondruck (12), Offsetdruck (11).;C;Sitz 4665 Oftringen, Schweiz, im deutschsprachigen Raum, Zielregion ist Heidelberg.;D;30 Mitarbeiter (Recherche, Gesellschaft: https://luescher.com/ueber-uns/standorte/ (2026: Heute beschaeftigen wir rund 30 hochqualifizierte Mitarbeitende)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;6 Mio. EUR (aus 30 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;C;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;3 Begriffe mit 24 Fundstellen auf 9 Seiten: Wartung (12), Ersatzteil (11), Lebensdauer (1).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;A;3 Begriffe mit 7 Fundstellen auf 9 Seiten: Innovation (4), Entwicklung (2), Patent (1).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.
